Date & time,Note,Gene (x),y,z,R,range fraction
20220204143754,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.453308209,1
20220204143741,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.451569645,0.5
20220204143734,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.445201723,0.25
20220204143748,nsp10-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.436755993,0.75
20220204145511,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.415635729,0.75
20220204145517,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.415626108,1
20220204145026,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.41511066,0.5
20220204144853,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.414888941,0.25
20220204145500,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.413913119,0.25
20220204145211,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.413524132,0.75
20220204145356,Spike-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.413432994,1
20220204145504,E-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.412161709,0.5
20220204144716,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.399687043,1
20220204144701,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.399335251,0.75
20220204144631,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.398269458,0.5
20220204144616,nsp16-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.397649182,0.25
20220204141630,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.384228544,1
20220204141619,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.384086594,0.75
20220204141555,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.383942347,0.25
20220204141608,nsp6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.383935217,0.5
20220204162338,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.378002076,0.5
20220204162316,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.375164319,0.25
20220204162402,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.374908456,0.75
20220204162426,NC-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.374882352,1
20220204143656,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.373400728,0.75
20220204140044,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.37216178,0.75
20220204140034,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.372111768,0.5
20220204140054,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.372063464,1
20220204143647,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.370801541,0.5
20220204143704,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.368275214,1
20220204130356,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.367750895,1
20220204135858,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.366258545,0.25
20220204140024,nsp1-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.366258545,0.25
20220204162145,ns6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.365070887,0.75
20220204162150,ns6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.364997846,1
20220204143634,nsp8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.357548428,0.25
20220204162106,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.357030927,0.25
20220204162126,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.356253574,0.75
20220204162136,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.354709837,1
20220204162117,M-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.354384627,0.5
20220204162141,ns6-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.352378634,0.25
20220204144140,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.349379182,0.5
20220204144115,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.346925026,0.25
20220204144209,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.345894589,0.75
20220204144236,Hel-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.345413238,1
20220204141502,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.342061296,0.25
20220204141528,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.340326683,0.75
20220204141514,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.340294392,0.5
20220204141541,3CL_PRO-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.340199375,1
20220204162251,ns8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.336163831,1
20220204162238,ns8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.336081934,0.5
20220204162245,ns8-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.335177355,0.75
20220204144044,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.329577439,1
20220204144002,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.329534543,0.75
20220204143918,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.32951231,0.5
20220204143834,Pol-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.329392503,0.25
20220204130316,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.324834022,0.75
20220204131018,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324477731,1
20220204131459,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324477731,1
20220204140312,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324477731,1
20220204130941,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324457823,0.75
20220204131420,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324457823,0.75
20220204140238,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324457823,0.75
20220204130903,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324399884,0.5
20220204131339,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324399884,0.5
20220204140204,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.324399884,0.5
20220204130827,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.323232912,0.25
20220204131300,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.323232912,0.25
20220204140130,nsp2-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.323232912,0.25
20220204143715,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.321082019,0.5
20220204130154,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.317851102,0.25
20220204143720,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.313536446,0.75
20220204143726,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.312935959,1
20220204141334,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.311790244,0.25
20220204143709,nsp9-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.311652617,0.25
20220204141400,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.308509211,0.5
20220204141422,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.30804789,0.75
20220204141448,nsp4-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.306916237,1
20220204144334,ExoN-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305829299,0.25
20220204144447,ExoN-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305790832,1
20220204140530,nsp3-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305600931,0.25
20220204144359,ExoN-all_mutations-IR_FR_indinorm_and_log,VarSeqP,IR,FR,0.305590853,0.5
