Date & time,Note,Gene (x),y,z,R,range fraction
20220309013634,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.962333524294962,1
Date & time,Note,Gene (x),y,z,R,range fraction
20220309063329,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.981203400164294,0.25
Date & time,Note,Gene (x),y,z,R,range fraction
20220309064624,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.981094908694691,0.5
Date & time,Note,Gene (x),y,z,R,range fraction
20220309065919,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.981372632995662,0.75
Date & time,Note,Gene (x),y,z,R,range fraction
20220309071218,nsp1-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.981233835022822,1
Date & time,Note,Gene (x),y,z,R,range fraction
20220309112007,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.977785635090424,0.25
Date & time,Note,Gene (x),y,z,R,range fraction
20220309150832,nsp2-all_mutations-IR_FR_indinorm,VarSeqP,IR,FR,0.977507412643105,0.5
